Date,Open,High,Low,Close,Adj Close,Volume,foreign_buy,foreign_sell,investment_trust_buy,investment_trust_sell,self_buy,self_sell
2020-01-02,16.049999237060547,16.399999618530273,15.899999618530272,16.049999237060547,15.95092487335205,415689,46000.0,2000.0,0.0,0.0,0.0,0.0
2020-01-03,16.200000762939453,16.25,16.100000381469727,16.200000762939453,16.100000381469727,302732,38000.0,2000.0,0.0,0.0,0.0,0.0
2020-01-06,16.200000762939453,16.25,16.049999237060547,16.200000762939453,16.100000381469727,239473,5000.0,4000.0,0.0,0.0,0.0,0.0
2020-01-07,16.200000762939453,16.200000762939453,16.100000381469727,16.200000762939453,16.100000381469727,450631,17000.0,5000.0,0.0,0.0,0.0,0.0
2020-01-08,16.200000762939453,16.299999237060547,16.049999237060547,16.25,16.149690628051758,153601,4000.0,16000.0,0.0,0.0,0.0,0.0
2020-01-09,16.25,16.299999237060547,16.049999237060547,16.25,16.149690628051758,233359,2000.0,11000.0,0.0,0.0,0.0,0.0
2020-01-10,16.25,16.299999237060547,16.149999618530273,16.299999237060547,16.199382781982422,124571,13000.0,11000.0,0.0,0.0,0.0,0.0
2020-01-13,16.299999237060547,16.350000381469727,16.149999618530273,16.350000381469727,16.249074935913086,222825,18000.0,12000.0,0.0,0.0,0.0,0.0
2020-01-14,16.350000381469727,16.399999618530273,16.299999237060547,16.350000381469727,16.249074935913086,46132,0.0,5000.0,0.0,0.0,0.0,0.0
2020-01-15,16.399999618530273,16.399999618530273,16.25,16.299999237060547,16.199382781982422,53199,1000.0,8000.0,0.0,0.0,0.0,0.0
2020-01-16,16.399999618530273,16.5,16.299999237060547,16.450000762939453,16.34845733642578,182505,27000.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,16.450000762939453,16.75,16.299999237060547,16.600000381469727,16.49753189086914,449005,33000.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,16.600000381469727,16.850000381469727,16.600000381469727,16.75,16.646604537963867,205927,1000.0,28000.0,0.0,0.0,0.0,0.0
2020-01-30,16.5,16.5,16.0,16.100000381469727,16.00061798095703,167508,3000.0,20000.0,0.0,0.0,1000.0,0.0
2020-01-31,16.350000381469727,16.850000381469727,16.350000381469727,16.549999237060547,16.447839736938477,199512,5000.0,48000.0,0.0,0.0,0.0,1000.0
2020-02-03,16.399999618530273,16.5,16.149999618530273,16.149999618530273,16.050308227539062,178205,3000.0,3000.0,0.0,0.0,3000.0,0.0
2020-02-04,16.0,16.399999618530273,16.0,16.399999618530273,16.298765182495117,59587,1000.0,16000.0,0.0,0.0,0.0,1000.0
2020-02-05,16.299999237060547,17.200000762939453,16.25,16.75,16.646604537963867,266006,5000.0,25000.0,0.0,0.0,0.0,1000.0
2020-02-06,16.700000762939453,17.100000381469727,16.700000762939453,17.100000381469727,16.99444580078125,208911,14000.0,30000.0,0.0,0.0,0.0,0.0
2020-02-07,17.100000381469727,17.100000381469727,16.700000762939453,16.75,16.646604537963867,126577,2000.0,32000.0,0.0,0.0,0.0,0.0
2020-02-10,16.700000762939453,16.700000762939453,16.450000762939453,16.5,16.398147583007812,68081,3000.0,22000.0,0.0,0.0,0.0,0.0
2020-02-11,16.600000381469727,16.649999618530273,16.399999618530273,16.549999237060547,16.447839736938477,69485,4000.0,13000.0,0.0,0.0,1000.0,0.0
2020-02-12,16.549999237060547,16.649999618530273,16.5,16.600000381469727,16.49753189086914,20691,1000.0,7000.0,0.0,0.0,0.0,0.0
2020-02-13,16.600000381469727,16.600000381469727,16.399999618530273,16.450000762939453,16.34845733642578,119016,2000.0,61000.0,0.0,0.0,0.0,0.0
2020-02-14,16.450000762939453,16.899999618530273,16.450000762939453,16.899999618530273,16.795679092407227,115491,21000.0,6000.0,0.0,0.0,0.0,1000.0
