Date,Open,High,Low,Close,Adj Close,Volume,foreign_buy,foreign_sell,investment_trust_buy,investment_trust_sell,self_buy,self_sell
2020-01-02,83.72704315185547,83.82229614257812,83.15552520751953,83.15552520751953,74.57515716552734,57741,0,0,0,0,0,0
2020-01-03,83.15552520751953,83.25077819824219,82.58401489257812,83.25077819824219,74.66058349609375,76008,0,0,0,0,0,0
2020-01-06,83.34603118896484,83.53653717041016,82.86976623535156,83.25077819824219,74.66058349609375,19946,0,0,0,0,0,0
2020-01-07,83.25077819824219,83.25077819824219,82.10774993896484,82.67926788330078,74.1480484008789,22046,0,0,0,0,0,0
2020-01-08,82.2030029296875,82.58401489257812,82.10774993896484,82.58401489257812,74.0626220703125,12598,0,0,0,0,0,0
2020-01-09,82.58401489257812,83.4412841796875,82.58401489257812,83.15552520751953,74.57515716552734,19946,0,0,0,0,0,0
2020-01-10,83.34603118896484,83.34603118896484,82.77452087402344,83.15552520751953,74.57515716552734,35694,0,0,0,0,0,0
2020-01-13,83.15552520751953,83.34603118896484,82.39350891113281,82.67926788330078,74.1480484008789,27295,0,0,0,0,0,0
2020-01-14,82.67926788330078,82.86976623535156,82.39350891113281,82.86976623535156,74.31888580322266,32545,0,0,0,0,0,0
2020-01-15,82.39350891113281,82.86976623535156,82.39350891113281,82.77452087402344,74.23346710205078,31495,0,0,0,0,0,0
2020-01-16,82.86976623535156,83.15552520751953,82.77452087402344,82.96501922607422,74.40431213378906,50392,0,0,0,0,0,0
2020-01-17,83.06027221679688,83.15552520751953,82.96501922607422,83.06027221679688,74.48973846435547,31967,0,0,0,0,0,0
2020-01-20,83.34603118896484,83.34603118896484,82.58401489257812,82.67926788330078,74.1480484008789,58837,0,0,0,0,0,0
2020-01-30,81.91724395751953,81.91724395751953,80.01219177246094,80.20269775390625,71.92701721191406,190021,0,0,0,0,0,0
2020-01-31,80.58370971679688,81.05997467041016,80.39320373535156,80.39320373535156,72.09786224365234,72911,0,0,0,0,0,0
2020-02-03,79.0596694946289,79.440673828125,78.77391052246094,79.0596694946289,70.90193176269531,34644,0,0,0,0,0,0
2020-02-04,79.0596694946289,79.440673828125,78.77391052246094,79.0596694946289,70.90193176269531,34644,0,0,0,0,0,0
2020-02-05,79.34542083740234,79.34542083740234,78.29764556884766,78.39289855957031,70.30396270751953,27295,0,0,0,0,0,0
2020-02-06,78.96441650390625,78.96441650390625,78.39289855957031,78.48815155029297,70.38938903808594,14697,0,0,0,0,0,0
2020-02-07,78.58340454101562,78.58340454101562,78.01188659667969,78.10713958740234,70.04768371582031,19049,0,0,0,0,0,0
2020-02-10,75.4400634765625,76.964111328125,75.0590591430664,76.1068344116211,68.2537841796875,89673,0,0,0,0,0,0
2020-02-11,76.1068344116211,77.44036865234375,76.1068344116211,77.24986267089844,69.27886962890625,76638,0,0,0,0,0,0
2020-02-12,77.24986267089844,77.3451156616211,76.77360534667969,77.3451156616211,69.36428833007812,48292,0,0,0,0,0,0
2020-02-13,77.24986267089844,78.48815155029297,77.24986267089844,78.10713958740234,70.04768371582031,67189,0,0,0,0,0,0
2020-02-14,78.01188659667969,78.48815155029297,77.91663360595703,78.10713958740234,70.04768371582031,9868,0,0,0,0,0,0
2020-02-17,78.10713958740234,78.10713958740234,77.24986267089844,77.3451156616211,69.36428833007812,25196,0,0,0,0,0,0
2020-02-18,77.24986267089844,77.24986267089844,76.964111328125,77.24986267089844,69.27886962890625,28345,0,0,0,0,0,0
2020-02-19,77.24986267089844,77.44036865234375,76.77360534667969,76.77360534667969,68.85175323486328,131230,0,0,0,0,0,0
2020-02-20,76.67835235595703,77.63087463378906,76.2973403930664,76.67835235595703,68.7663345336914,23096,0,0,0,0,0,0
2020-02-21,76.67835235595703,77.15461730957031,76.58309936523438,77.15461730957031,69.19345092773438,11075,0,0,0,0,0,0
2020-02-24,76.20208740234375,76.2973403930664,75.91632843017578,75.91632843017578,68.08293151855469,17847,0,0,0,0,0,0
2020-02-25,76.20208740234375,76.964111328125,75.91632843017578,76.964111328125,69.0226058959961,37794,0,0,0,0,0,0
2020-02-26,76.1068344116211,76.2973403930664,76.01158142089844,76.1068344116211,68.2537841796875,13647,0,0,0,0,0,0
2020-02-27,75.4400634765625,76.2973403930664,75.24955749511719,76.2973403930664,68.42462921142578,78738,0,0,0,0,0,0
2020-03-02,75.24955749511719,75.63056945800781,74.77330017089844,75.34481048583984,67.57038879394531,34644,0,0,0,0,0,0
2020-03-03,76.01158142089844,76.20208740234375,75.82107543945312,76.20208740234375,68.3392105102539,25196,0,0,0,0,0,0
2020-03-04,75.72582244873047,75.82107543945312,75.24955749511719,75.82107543945312,67.99751281738281,11548,0,0,0,0,0,0
2020-03-05,75.82107543945312,76.2973403930664,75.82107543945312,76.2973403930664,68.42462921142578,10498,0,0,0,0,0,0
2020-03-06,74.8685531616211,76.20208740234375,74.8685531616211,76.1068344116211,68.2537841796875,13647,0,0,0,0,0,0
2020-03-09,76.1068344116211,76.1068344116211,76.1068344116211,76.1068344116211,68.2537841796875,0,0,0,0,0,0,0
2020-03-10,70.29642486572266,73.24925994873047,70.29642486572266,73.24925994873047,65.69107055664062,51442,0,0,0,0,0,0
2020-03-11,73.43975830078125,73.43975830078125,72.39198303222656,73.24925994873047,65.69107055664062,36744,0,0,0,0,0,0
2020-03-12,71.43946075439453,71.43946075439453,68.77238464355469,69.05814361572266,61.932411193847656,52492,0,0,0,0,0,0
2020-03-13,69.05814361572266,69.05814361572266,69.05814361572266,69.05814361572266,61.932411193847656,0,0,0,0,0,0,0
2020-03-16,64.9622802734375,64.9622802734375,62.8667221069336,64.20025634765625,57.575782775878906,49342,0,0,0,0,0,0
2020-03-17,63.438236236572266,64.1050033569336,62.96197509765625,63.62874221801758,57.063236236572266,159575,0,0,0,0,0,0
2020-03-18,63.62874221801758,64.20025634765625,62.8667221069336,62.8667221069336,56.37984848022461,51442,0,0,0,0,0,0
2020-03-19,61.72369003295898,61.72369003295898,56.58005142211914,57.342071533203125,51.425254821777344,94485,0,0,0,0,0,0
2020-03-20,57.43732452392578,62.77146911621094,57.43732452392578,59.72338485717773,53.56085205078125,81887,0,0,0,0,0,0
2020-03-23,56.0085334777832,59.62813186645508,56.0085334777832,57.342071533203125,51.425254821777344,38844,0,0,0,0,0,0
2020-03-24,58.96136474609375,60.10439682006836,58.10409164428711,58.38985061645508,52.36492156982422,98684,0,0,0,0,0,0
2020-03-25,60.39015579223633,61.72369003295898,59.62813186645508,60.86641693115234,54.58594131469727,119681,0,0,0,0,0,0
2020-03-26,61.9141960144043,62.8667221069336,60.86641693115234,62.48571014404297,56.03815078735352,40943,0,0,0,0,0,0
2020-03-27,62.77146911621094,63.91450119018555,62.77146911621094,62.8667221069336,56.37984848022461,36744,0,0,0,0,0,0
2020-03-30,62.295204162597656,62.295204162597656,62.10470199584961,62.295204162597656,55.86730194091797,6299,0,0,0,0,0,0
2020-03-31,63.34298324584961,64.2955093383789,62.39045715332031,63.057228088378906,56.55069732666016,23096,0,0,0,0,0,0
2020-04-01,63.057228088378906,64.2955093383789,63.057228088378906,64.2955093383789,57.66120529174805,17847,0,0,0,0,0,0
2020-04-06,64.2955093383789,64.58126831054688,63.438236236572266,64.58126831054688,57.91748046875,18897,0,0,0,0,0,0
2020-04-07,64.77177429199219,66.01005554199219,64.58126831054688,64.58126831054688,57.91748046875,30445,0,0,0,0,0,0
2020-04-08,64.48601531982422,65.6290512084961,64.48601531982422,65.34329223632812,58.60087203979492,15747,0,0,0,0,0,0
2020-04-09,65.6290512084961,65.72429656982422,63.72399520874024,63.72399520874024,57.14866256713867,53541,0,0,0,0,0,0
2020-04-10,64.00975036621094,64.77177429199219,63.81924819946289,64.48601531982422,57.8320541381836,39893,0,0,0,0,0,0
2020-04-13,63.81924819946289,64.48601531982422,63.438236236572266,63.81924819946289,57.23408508300781,38844,0,0,0,0,0,0
2020-04-14,63.438236236572266,65.43854522705078,63.34298324584961,64.48601531982422,57.8320541381836,108133,0,0,0,0,0,0
2020-04-15,64.1050033569336,65.05753326416016,64.1050033569336,64.86702728271484,58.17375183105469,56691,0,0,0,0,0,0
2020-04-16,64.1050033569336,65.53379821777344,64.1050033569336,65.15278625488281,58.430023193359375,56691,0,0,0,0,0,0
2020-04-17,65.24803924560547,65.34329223632812,63.72399520874024,63.72399520874024,57.14866256713867,201569,0,0,0,0,0,0
2020-04-20,63.81924819946289,65.05753326416016,63.81924819946289,65.05753326416016,58.34460067749024,56691,0,0,0,0,0,0
2020-04-21,64.77177429199219,64.86702728271484,63.62874221801758,64.1050033569336,57.4903564453125,35694,0,0,0,0,0,0
2020-04-22,63.34298324584961,63.53348922729492,63.057228088378906,63.34298324584961,56.80696487426758,35694,0,0,0,0,0,0
2020-04-23,63.057228088378906,64.20025634765625,62.8667221069336,64.20025634765625,57.575782775878906,254061,0,0,0,0,0,0
2020-04-24,63.34298324584961,63.81924819946289,63.34298324584961,63.34298324584961,56.80696487426758,25196,0,0,0,0,0,0
2020-04-27,63.81924819946289,63.81924819946289,63.53348922729492,63.53348922729492,56.977813720703125,38844,0,0,0,0,0,0
2020-04-28,63.438236236572266,64.00975036621094,63.34298324584961,63.81924819946289,57.23408508300781,107083,0,0,0,0,0,0
2020-04-29,64.20025634765625,65.91480255126953,63.72399520874024,65.91480255126953,59.1134147644043,216267,0,0,0,0,0,0
2020-04-30,65.91480255126953,67.62935638427734,65.91480255126953,67.43885040283203,60.480201721191406,134379,0,0,0,0,0,0
2020-05-04,65.81954956054688,66.10530853271484,65.34329223632812,66.01005554199219,59.19883728027344,39893,0,0,0,0,0,0
2020-05-05,65.72429656982422,66.01005554199219,65.24803924560547,66.01005554199219,59.19883728027344,60890,0,0,0,0,0,0
2020-05-06,66.01005554199219,66.01005554199219,65.15278625488281,65.43854522705078,58.68629837036133,61940,0,0,0,0,0,0
2020-05-07,65.43854522705078,68.1056137084961,65.43854522705078,67.91510772705078,60.907318115234375,454580,0,0,0,0,0,0
2020-05-08,67.91510772705078,68.1056137084961,66.48632049560547,66.48632049560547,59.62595748901367,90286,0,0,0,0,0,0
