Date,Open,High,Low,Close,Adj Close,Volume,foreign_buy,foreign_sell,investment_trust_buy,investment_trust_sell,self_buy,self_sell
2020-01-02,94.0,95.4000015258789,94.0,94.9000015258789,87.58650970458984,401000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,95.5999984741211,95.9000015258789,93.0,93.4000015258789,86.20211029052734,672350,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,92.4000015258789,92.9000015258789,91.0999984741211,91.0999984741211,84.07936096191406,613000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,91.3000030517578,92.0,90.5,90.5999984741211,83.61788940429688,441000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,90.1999969482422,90.3000030517578,89.30000305175781,89.5999984741211,82.69495391845703,560000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,89.30000305175781,90.5999984741211,89.0,89.69999694824219,82.78724670410156,425000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,89.69999694824219,90.0999984741211,89.0,89.0,82.14118957519531,362000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,89.0,91.0,89.0,90.8000030517578,83.80248260498047,354000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,91.4000015258789,91.8000030517578,90.8000030517578,91.8000030517578,84.72541809082031,452000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,92.4000015258789,92.4000015258789,90.9000015258789,91.0999984741211,84.07936096191406,228000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,91.0999984741211,91.1999969482422,90.4000015258789,90.4000015258789,83.43330383300781,211000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,91.1999969482422,91.3000030517578,90.4000015258789,90.6999969482422,83.7101821899414,190530,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,90.6999969482422,91.0,90.0,90.1999969482422,83.24871063232422,307765,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,84.0999984741211,86.0,81.19999694824219,81.19999694824219,74.94230651855469,2275000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,81.19999694824219,82.19999694824219,79.19999694824219,80.80000305175781,74.57313537597656,910212,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,75.0,80.0,72.9000015258789,79.5,73.3733139038086,1836000,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,80.0,82.69999694824219,78.5999984741211,81.30000305175781,75.03459930419922,911000,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,81.9000015258789,82.5999984741211,81.0999984741211,81.30000305175781,75.03459930419922,565000,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,82.30000305175781,83.30000305175781,82.30000305175781,82.4000015258789,76.0498275756836,567000,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,82.4000015258789,82.4000015258789,82.4000015258789,82.4000015258789,76.0498275756836,0,0.0,0.0,0.0,0.0,0.0,0.0
