Date,Open,High,Low,Close,Adj Close,Volume,foreign_buy,foreign_sell,investment_trust_buy,investment_trust_sell,self_buy,self_sell
2020-01-02,15.0,15.550000190734863,15.0,15.25,15.039170265197754,8783924,767000,2225000,0,0,372000,34000
2020-01-03,15.25,15.300000190734863,14.949999809265137,15.0,14.79262638092041,3140165,52000,817000,0,0,2000,192000
2020-01-06,14.899999618530272,15.0,14.75,14.75,14.546083450317385,1907381,184000,325000,0,0,0,201000
2020-01-07,14.649999618530272,14.850000381469728,14.550000190734863,14.600000381469728,14.398157119750977,2601810,83000,310000,0,0,3000,64000
2020-01-08,14.600000381469728,14.949999809265137,14.350000381469728,14.75,14.546083450317385,4675341,190000,476000,0,0,272000,18000
2020-01-09,14.75,14.899999618530272,14.649999618530272,14.75,14.546083450317385,1503642,233000,80000,0,0,27000,255000
2020-01-10,14.899999618530272,15.100000381469728,14.850000381469728,14.850000381469728,14.64470100402832,3555446,138000,190000,0,0,183000,49000
2020-01-13,14.850000381469728,15.300000190734863,14.800000190734863,15.300000190734863,15.08847999572754,3787885,1426000,61000,0,0,715000,55000
2020-01-14,15.149999618530272,15.300000190734863,14.949999809265137,15.0,14.79262638092041,2383001,215000,270000,0,0,28000,514000
2020-01-15,15.0,15.300000190734863,15.0,15.149999618530272,14.940552711486816,4148915,180000,560000,0,0,139000,140000
2020-01-16,15.149999618530272,15.399999618530272,15.050000190734863,15.199999809265137,14.989861488342283,3550176,806000,179000,0,0,144000,104000
2020-01-17,15.300000190734863,15.399999618530272,15.100000381469728,15.350000381469728,15.137788772583008,2678959,347000,106000,0,55000,91000,131000
2020-01-20,15.5,15.5,14.949999809265137,14.949999809265137,14.74331760406494,7770844,186000,1271000,0,55000,14000,564000
2020-01-30,13.600000381469728,13.850000381469728,13.5,13.5,13.313364028930664,6906545,478000,1248000,0,0,192000,568000
2020-01-31,13.149999618530272,13.699999809265137,12.75,13.100000381469728,12.91889476776123,5119156,647000,1388000,0,0,148000,263000
2020-02-03,12.5,12.550000190734863,11.800000190734863,12.25,12.080645561218262,4763938,1054000,762000,0,0,106000,468000
2020-02-04,14.699999809265137,14.75,12.800000190734863,12.800000190734863,12.623042106628418,2248175,551000,150000,0,0,170000,54000
2020-02-05,13.0,13.649999618530272,12.699999809265137,13.399999618530272,13.214746475219728,7230197,629000,1722000,0,0,319000,110000
