Date,Open,High,Low,Close,Adj Close,Volume,foreign_buy,foreign_sell,investment_trust_buy,investment_trust_sell,self_buy,self_sell
2020-01-02,18.850000381469727,20.049999237060547,18.850000381469727,19.5,17.962467193603516,8129000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,19.450000762939453,19.89999961853028,18.549999237060547,18.600000381469727,17.133432388305664,5280100,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,18.299999237060547,18.950000762939453,18.100000381469727,18.700000762939453,17.225547790527344,3493000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,18.64999961853028,18.850000381469727,17.600000381469727,17.899999618530273,16.488622665405273,3412000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,17.899999618530273,18.25,17.600000381469727,17.75,16.35045051574707,2013000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,18.700000762939453,19.14999961853028,18.299999237060547,18.450000762939453,16.995258331298828,4974000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,18.350000381469727,18.450000762939453,17.899999618530273,18.200000762939453,16.764970779418945,1896000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,18.5,18.89999961853028,18.0,18.799999237060547,17.31766128540039,1984000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,18.799999237060547,19.100000381469727,18.549999237060547,18.950000762939453,17.455833435058594,2286000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,19.0,19.0,18.700000762939453,18.89999961853028,17.409774780273438,1205000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,19.0,19.64999961853028,18.850000381469727,18.950000762939453,17.455833435058594,3000000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,18.950000762939453,19.549999237060547,18.89999961853028,19.0,17.501890182495117,3480635,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,19.14999961853028,19.299999237060547,18.89999961853028,18.950000762939453,17.455833435058594,1228231,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,17.299999237060547,17.75,17.100000381469727,17.149999618530273,15.797760009765623,2380000,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,17.200000762939453,17.549999237060547,16.549999237060547,17.100000381469727,15.751703262329102,1604006,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,16.549999237060547,16.600000381469727,15.5,16.549999237060547,15.245067596435549,1661000,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,16.600000381469727,17.0,16.549999237060547,16.899999618530273,15.567471504211426,1324000,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,16.899999618530273,17.149999618530273,16.700000762939453,16.75,15.429299354553224,835000,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,16.899999618530273,17.5,16.799999237060547,17.5,16.120162963867188,1079000,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,17.5,17.5,17.5,17.5,16.120162963867188,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,16.600000381469727,16.850000381469727,16.149999618530273,16.549999237060547,15.245067596435549,833365,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,16.700000762939453,17.200000762939453,16.700000762939453,17.0,15.659587860107422,790000,0.0,0.0,0.0,0.0,0.0,0.0
