Date,Open,High,Low,Close,Adj Close,Volume,foreign_buy,foreign_sell,investment_trust_buy,investment_trust_sell,self_buy,self_sell
2020-01-02,73.23409271240234,73.98521423339844,72.25763702392578,72.25763702392578,71.85399627685547,990522,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,72.93364715576172,73.38431549072266,69.85405731201172,70.90562438964844,70.50953674316406,777440,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,70.15450286865234,70.90562438964844,69.62872314453125,69.92916870117188,69.53852844238281,331505,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,70.07939147949219,70.4549560546875,68.72737884521484,69.02782440185547,68.64221954345703,525882,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,69.77894592285156,69.77894592285156,68.802490234375,69.47850036621094,69.09037780761719,376771,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,70.07939147949219,71.1309585571289,69.62872314453125,69.85405731201172,69.4638442993164,781500,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,70.2296142578125,70.83051300048828,69.17805480957031,69.17805480957031,68.79161834716797,571147,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,69.10293579101562,69.62872314453125,68.35182189941406,69.62872314453125,69.2397689819336,609756,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,69.77894592285156,70.68029022216797,69.62872314453125,70.60517883300781,70.21076965332031,496592,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,70.9807357788086,71.73185729980469,69.5536117553711,69.7038345336914,69.314453125,728246,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,69.77894592285156,69.85405731201172,69.25315856933594,69.40338897705078,69.01569366455078,331505,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,69.77894592285156,70.2296142578125,69.32827758789062,69.47850036621094,69.09037780761719,247630,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,69.77894592285156,70.37984466552734,69.7038345336914,70.07939147949219,69.68791961669922,388184,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,69.7038345336914,69.77894592285156,65.34734344482422,65.57267761230469,65.20637512207031,1728088,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,66.09846496582031,68.20159912109375,66.09846496582031,67.22514343261719,66.84961700439453,601555,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,65.79801177978516,65.79801177978516,62.94376373291016,65.34734344482422,64.9822998046875,955907,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,66.84957885742188,66.84957885742188,65.49756622314453,65.57267761230469,65.20637512207031,527213,0.0,0.0,0.0,0.0,0.0,0.0
