Date,Open,High,Low,Close,Adj Close,Volume,foreign_buy,foreign_sell,investment_trust_buy,investment_trust_sell,self_buy,self_sell
2020-01-02,332.5,339.0,332.5,339.0,323.9664001464844,31754120,13041781,17798488,20000,199000,692000,709000
2020-01-03,344.0,345.0,335.5,339.5,324.4442138671875,41811268,18817154,16223795,239000,42000,779000,1887000
2020-01-06,333.0,334.5,332.0,332.0,317.2767639160156,45343057,9239458,25334567,92000,956000,1593000,771000
2020-01-07,332.5,333.0,326.5,329.5,314.8876342773437,50879181,16605626,30960488,365000,667000,1505000,874000
2020-01-08,325.0,333.0,325.0,329.5,314.8876342773437,37567748,17729312,18521235,96000,115000,840000,1263000
2020-01-09,335.0,337.5,333.5,337.5,322.5328369140625,31481504,18655552,8579000,170000,110000,504000,1186000
2020-01-10,340.5,341.0,336.0,339.5,324.4442138671875,27032115,13854136,12165037,0,78000,655000,1534000
2020-01-13,342.0,342.0,339.0,341.5,326.3554382324219,30663332,21788114,16096400,184000,420000,673000,533000
2020-01-14,345.5,346.0,344.5,346.0,330.6559143066406,30223993,17826229,13407637,88000,350000,951000,237000
2020-01-15,345.0,345.0,337.5,340.0,324.9220275878906,47434274,24303582,42208023,28000,963585,1917000,2239990
2020-01-16,330.0,336.5,330.0,334.5,319.6658630371094,55211420,22198391,46768944,129000,276000,3260000,657000
2020-01-17,334.0,335.5,332.0,333.0,318.2324523925781,52060097,22277602,40046989,102000,1379000,1661000,1628000
2020-01-20,334.0,335.5,333.0,333.0,318.2324523925781,32658203,18926598,22555082,11000,612000,1398000,229000
2020-01-30,326.0,326.0,316.5,316.5,302.464111328125,125451049,58065434,85254766,542000,2497000,3256000,5211000
2020-01-31,323.0,323.5,319.0,320.0,305.80889892578125,62526055,29993800,46238782,248000,324000,1456000,1858000
2020-02-03,315.0,316.5,312.0,315.0,301.0306701660156,59560849,21109609,31801301,451000,121000,2172000,863000
2020-02-04,336.5,337.0,325.0,325.0,310.58721923828125,51890496,31166051,24838585,258000,564000,763000,2320994
2020-02-05,329.0,329.5,324.5,327.5,312.9763488769531,36601453,21169056,18166144,82000,126000,559000,1986000
2020-02-06,329.5,332.5,329.0,332.5,317.75457763671875,29267094,16677287,15582546,265504,236000,1490000,216000
2020-02-07,330.0,330.5,326.0,328.0,313.4541931152344,28798327,15733278,20450383,43000,188000,926000,864000
2020-02-10,321.5,328.0,321.0,327.5,312.9763488769531,30632424,9793070,18098747,257000,970000,1331000,903094
2020-02-11,330.5,332.5,330.0,331.5,316.79888916015625,27524935,16018364,15904886,129000,105000,374000,585000
2020-02-12,333.5,336.0,333.0,335.0,320.1437072753906,37612639,21403010,16305102,136000,125000,1400000,581000
