Date,Open,High,Low,Close,Adj Close,Volume,foreign_buy,foreign_sell,investment_trust_buy,investment_trust_sell,self_buy,self_sell
2020-01-02,53.5,54.09999847412109,52.5,53.5,50.06319046020508,4599956,285000,246000,0,0,27000,55000
2020-01-03,57.400001525878906,58.79999923706055,56.400001525878906,58.79999923706055,55.02272415161133,22480487,1982000,587000,0,0,221000,153000
2020-01-06,58.5,64.5,57.900001525878906,64.0,59.88867950439453,37400733,707000,1884000,0,0,579000,129000
2020-01-07,61.900001525878906,62.70000076293945,57.59999847412109,57.79999923706055,54.08696365356445,19821589,591000,992000,0,0,13000,577000
2020-01-08,55.5,60.900001525878906,55.0,59.900001525878906,56.05206298828125,21670685,1512000,653000,0,0,114000,77000
2020-01-09,61.400001525878906,62.900001525878906,60.5,62.900001525878906,58.85934448242188,18552776,372000,884000,0,0,513000,159000
2020-01-10,62.5,63.900001525878906,59.70000076293945,61.0,57.08139801025391,16299433,565000,874000,0,0,107000,401000
2020-01-13,61.5,61.900001525878906,59.09999847412109,60.5,56.61351776123047,9595480,685000,756000,0,0,69000,154000
2020-01-14,61.400001525878906,65.69999694824219,61.400001525878906,64.9000015258789,60.730865478515625,22172060,1032000,808000,0,0,1049000,238000
2020-01-15,64.19999694824219,64.5999984741211,63.20000076293945,63.5,59.42079925537109,10131636,279000,353000,0,0,64000,702000
2020-01-16,64.0999984741211,68.0,63.900001525878906,67.4000015258789,63.07026672363281,25977519,706000,1035000,0,0,532000,179000
2020-01-17,68.0,69.80000305175781,67.5,68.4000015258789,64.00602722167969,19698018,1831000,605000,0,18000,166000,329000
2020-01-20,69.5,69.9000015258789,68.0999984741211,68.5,64.09960174560547,9325268,378000,1564000,2000,18500,37000,147000
2020-01-30,63.0,65.5,61.70000076293945,61.70000076293945,57.73643112182617,10862992,2132000,459000,0,0,25000,486000
2020-01-31,64.0,65.0,62.400001525878906,63.29999923706055,59.23365020751953,12446418,582000,1702250,0,0,185000,32000
2020-02-03,59.900001525878906,64.80000305175781,58.0,64.80000305175781,60.63729095458984,12042895,1326000,862000,0,0,139000,104000
2020-02-04,45.95000076293945,71.19999694824219,45.54999923706055,71.19999694824219,66.62615203857422,23589735,2025000,1075000,0,0,758000,195000
2020-02-05,73.0,76.0,71.30000305175781,72.4000015258789,67.74906921386719,36956179,3879000,2324000,0,0,454000,588000
2020-02-06,74.69999694824219,77.0,74.19999694824219,76.19999694824219,71.3049545288086,23905438,1279000,1163000,0,0,228000,395000
2020-02-07,75.30000305175781,76.69999694824219,74.30000305175781,74.30000305175781,69.52701568603516,16049278,882000,1861000,0,0,127000,206000
2020-02-10,73.9000015258789,76.80000305175781,73.0,75.5,70.64993286132812,19881515,942000,1917000,0,0,338000,123000
2020-02-11,77.0,78.5999984741211,75.4000015258789,75.4000015258789,70.55635070800781,25492452,404000,799000,30000,0,106000,247000
2020-02-12,76.4000015258789,76.80000305175781,74.0,75.4000015258789,70.55635070800781,13177274,651000,656250,0,0,23000,134000
2020-02-13,76.0999984741211,76.5,73.5,73.80000305175781,69.05914306640625,10351943,643000,510000,0,0,40000,148000
2020-02-14,74.0999984741211,77.9000015258789,74.0,77.9000015258789,72.895751953125,24790277,3480000,680000,0,0,562000,110000
2020-02-17,78.69999694824219,79.19999694824219,77.0,77.5999984741211,72.61502838134766,16582669,290000,2428000,0,0,463000,390000
2020-02-18,78.5999984741211,80.69999694824219,77.5,77.69999694824219,72.7085952758789,21108699,621000,895000,0,0,97000,148000
2020-02-19,78.30000305175781,78.9000015258789,76.19999694824219,78.9000015258789,73.83151245117188,12139326,1241000,543500,0,0,117000,52000
2020-02-20,80.0,80.19999694824219,78.0,78.0,72.98933410644531,9878213,304000,1068706,0,0,73000,26000
2020-02-21,79.5,80.4000015258789,78.30000305175781,78.4000015258789,73.36363220214844,13553935,600000,805000,0,0,45000,38000
2020-02-24,77.9000015258789,80.69999694824219,77.0999984741211,80.69999694824219,75.51587677001953,10611852,1132250,695000,0,0,191000,14000
2020-02-25,80.30000305175781,82.5,79.19999694824219,79.5,74.39297485351562,24477528,1000000,1409000,0,0,131000,478000
2020-02-26,78.5,79.30000305175781,76.0999984741211,76.80000305175781,71.86641693115234,14235622,631000,579000,0,30000,12000,387000
2020-02-27,77.5,78.0999984741211,70.80000305175781,72.4000015258789,67.74906921386719,13874868,1931000,450000,0,0,4000,62000
2020-03-02,70.30000305175781,76.5999984741211,70.19999694824219,76.5999984741211,71.67926025390625,17106330,2479001,1402250,0,0,297000,66000
2020-03-03,77.5,79.5999984741211,75.69999694824219,76.5,71.58568572998047,11521567,577000,1196000,0,0,85000,195000
2020-03-04,76.80000305175781,77.0,73.69999694824219,75.0,70.18204498291016,9433259,682000,672000,0,0,61000,212000
2020-03-05,76.5,76.80000305175781,74.80000305175781,75.80000305175781,70.93065643310547,6750703,608000,386000,0,0,64000,1000
2020-03-06,75.0,75.4000015258789,74.0999984741211,74.30000305175781,69.52701568603516,4943855,346000,368000,0,0,10000,29000
2020-03-09,73.0999984741211,73.69999694824219,68.5,68.5,64.09960174560547,9030160,1392000,1401000,0,0,59000,233000
2020-03-10,65.0999984741211,72.5,65.0999984741211,71.30000305175781,66.71973419189453,13904119,3118000,909000,0,0,287000,11000
2020-03-11,71.69999694824219,72.80000305175781,68.0,68.80000305175781,64.38033294677734,9698317,747000,1569000,0,0,5000,356000
2020-03-12,68.5,68.80000305175781,62.5,63.0,58.952919006347656,11312985,2695000,1393000,0,0,12000,92000
2020-03-13,58.400001525878906,60.400001525878906,56.70000076293945,58.400001525878906,54.64842224121094,11692119,1597000,1975000,0,0,42000,48000
2020-03-16,58.29999923706055,61.70000076293945,53.5,53.5,50.06319046020508,13533749,2801000,3659000,0,0,45000,126000
2020-03-17,51.09999847412109,56.5,50.400001525878906,54.20000076293945,50.71822738647461,12403201,3166000,1271000,0,0,41000,35000
2020-03-18,55.59999847412109,56.09999847412109,50.0,51.5,48.19166946411133,10591923,1455000,2382000,0,0,8000,42000
2020-03-19,52.0,52.20000076293945,46.34999847412109,46.34999847412109,43.372501373291016,8448701,1053000,1890000,0,0,0,50000
2020-03-20,48.59999847412109,50.900001525878906,47.75,50.20000076293945,46.97518539428711,11813720,2549000,1649280,0,0,24000,19000
2020-03-23,46.75,49.20000076293945,46.0,47.0,43.980751037597656,4801847,607000,996000,0,0,14000,21000
2020-03-24,49.20000076293945,51.20000076293945,49.20000076293945,50.900001525878906,47.630218505859375,6600392,1208000,583000,0,0,19000,8000
2020-03-25,54.0,54.59999847412109,52.59999847412109,53.59999847412109,50.15676498413086,7403426,1082000,1210958,0,0,50000,32000
2020-03-26,53.09999847412109,54.5,51.400001525878906,54.20000076293945,50.71822738647461,5110449,1416000,599000,0,0,12000,22000
2020-03-27,55.79999923706055,56.29999923706055,52.29999923706055,52.59999847412109,49.22100830078125,7284960,756000,1789000,0,0,0,6000
2020-03-30,50.29999923706055,52.59999847412109,50.29999923706055,52.59999847412109,49.22100830078125,3757110,833000,1222000,0,0,6000,12000
2020-03-31,53.900001525878906,54.400001525878906,51.09999847412109,51.59999847412109,48.28524398803711,4378667,334000,1016000,0,0,2000,15000
2020-04-01,51.5,53.09999847412109,51.0,52.5,49.12743377685547,4017845,910000,474000,0,0,7000,9000
